,goalsPerGame,goalsAgainstPerGame,powerPlayPercentage,penaltyKillPercentage,shotsPerGame,shotsAllowed,shootingPctg,savePctg,savesPerGame,failedShotsPerGame,ties,winScoreFirstGreater61_high,aboveMeanAdjWins
149,3.7,3.813,21.0,78.1,30.9,30.875,12.0,87.7,27.077375,27.192,12,0,-4.444444444444443
150,3.688,3.713,18.6,78.0,27.7125,31.0625,13.3,88.0,27.335,24.0267375,10,1,-0.44444444444444287
151,3.563,3.125,19.4,80.1,33.3625,28.7375,10.7,89.1,25.6051125,29.792712499999997,12,1,6.555555555555557
152,3.588,3.7,19.2,81.8,30.2375,33.2875,11.9,88.9,29.5925875,26.6392375,14,0,0.5555555555555571
153,2.738,4.488,17.1,78.1,29.25,36.25,9.4,87.6,31.755,26.500500000000002,5,0,-21.944444444444443
154,3.667,3.56,19.2,81.4,33.0238,29.8095,11.1,88.1,26.2621695,29.358158200000002,7,1,-1.9722222222222214
155,3.988,3.536,21.6,79.5,31.0238,29.4167,12.9,88.0,25.886696,27.021729800000003,7,0,-1.9722222222222214
156,3.619,3.667,18.3,81.2,33.2619,33.6786,10.9,89.1,30.007632600000004,29.6363529,11,1,-5.972222222222221
157,3.798,3.798,18.1,77.4,29.7619,31.7976,12.8,88.1,28.0136856,25.9523768,11,0,-3.9722222222222214
158,4.369,3.19,23.9,83.2,32.4405,30.7262,13.5,89.60000000000001,27.5306752,28.0610325,7,1,14.027777777777779
159,3.952,3.19,20.9,83.0,34.4405,26.1071,11.5,87.8,22.922033799999998,30.4798425,7,1,9.027777777777779
160,3.988,3.536,20.3,83.5,31.7976,31.881,12.5,88.9,28.342209,27.8229,10,1,-2.4722222222222214
161,3.881,3.333,18.4,82.0,31.7738,30.0119,12.2,88.9,26.6805791,27.8973964,6,1,5.527777777777779
162,3.429,2.869,21.0,82.4,30.369,29.0476,11.3,90.10000000000001,26.1718876,26.937303,11,1,4.027777777777779
163,2.917,3.952,17.4,74.4,30.2262,30.4048,9.6,87.0,26.452176,27.3244848,7,0,-18.97222222222222
164,3.869,3.405,21.8,82.9,32.2024,28.4048,12.0,88.0,24.996224,28.338112,7,1,1.0277777777777786
165,3.321,2.738,18.4,83.5,32.2262,27.3214,10.3,90.0,24.58926,28.9069014,12,1,7.527777777777779
166,4.393,3.333,24.9,81.2,32.9167,28.869,13.3,88.5,25.549065,28.538778899999997,9,1,6.027777777777779
167,3.357,3.31,21.9,83.7,29.0357,33.8095,11.6,90.2,30.496169000000002,25.6675588,11,1,-2.9722222222222214
168,3.833,3.357,19.0,83.1,31.3929,29.4762,12.2,88.6,26.115913199999998,27.5629662,11,1,3.0277777777777786
169,2.881,4.012,15.9,77.2,27.9405,33.7619,10.3,88.1,29.744233899999998,25.062628500000002,8,0,-15.472222222222221
170,4.119,3.31,17.3,78.5,31.6905,29.4405,13.0,88.8,26.143164,27.570735,9,1,5.027777777777779
171,4.024,4.048,20.1,78.5,33.9881,34.381,11.8,88.2,30.324042000000002,29.977504200000002,10,1,-1.4722222222222214
172,3.643,2.619,18.3,81.1,31.631,29.0119,11.5,91.0,26.400829,27.993435,12,1,8.659090909090907
173,3.357,3.143,20.1,81.1,29.8929,30.4881,11.2,89.7,27.3478257,26.544895200000003,12,1,-2.3409090909090935
174,3.56,2.75,23.0,84.6,34.1786,27.7143,10.4,90.10000000000001,24.970584300000002,30.624025600000003,8,1,11.659090909090907
175,3.5,3.738,20.8,80.7,28.6786,31.7024,12.2,88.2,27.961516800000002,25.1798108,10,1,-4.3409090909090935
176,3.56,3.393,18.8,82.0,32.5119,31.8571,10.9,89.3,28.4483903,28.968102899999998,13,1,6.1590909090909065
177,3.44,3.0,21.7,84.7,35.4762,25.1548,9.7,88.1,22.1613788,32.0350086,13,1,4.1590909090909065
178,3.357,2.595,22.6,84.7,28.2024,29.3095,11.9,91.10000000000001,26.7009545,24.8463144,9,1,3.1590909090909065
179,3.369,2.952,20.1,82.6,31.2024,30.1548,10.8,90.2,27.1996296,27.8325408,14,1,3.6590909090909065
180,3.333,2.893,19.2,81.9,30.119,30.4048,11.1,90.5,27.516344000000004,26.775791,12,1,4.6590909090909065
181,2.774,2.774,15.9,82.6,27.2738,33.4286,10.2,91.7,30.654026200000004,24.491872400000002,17,0,-2.8409090909090935
182,2.667,2.988,14.7,82.7,29.7976,27.3333,8.9,89.1,24.3539703,27.1456136,11,0,-8.840909090909093
183,3.298,3.131,18.1,81.6,31.0238,25.8571,10.6,87.9,22.7283909,27.735277200000002,10,1,-0.3409090909090935
184,3.024,2.857,17.5,83.4,30.2976,29.2619,10.0,90.2,26.394233800000002,27.26784,9,1,-0.8409090909090935
185,4.238,3.274,20.8,80.9,35.5952,27.4167,11.9,88.1,24.1541127,31.3593712,8,1,5.6590909090909065
186,3.214,3.369,20.5,81.2,30.5952,35.0714,10.5,90.4,31.7045456,27.382704,11,1,1.1590909090909065
187,3.595,3.048,21.2,80.7,31.4286,27.5119,11.4,88.9,24.458079100000003,27.845739599999998,13,1,4.1590909090909065
188,3.107,3.631,18.4,80.5,30.3452,34.4167,10.2,89.5,30.8029465,27.2499896,14,0,-12.340909090909093
189,3.321,3.286,18.8,81.7,31.25,27.2024,10.6,87.9,23.9109096,27.9375,3,0,-1.8409090909090935
190,2.726,2.988,14.4,82.7,28.5952,31.1429,9.5,90.4,28.1531816,25.878656,5,0,-8.840909090909093
191,3.405,3.155,18.4,84.1,30.4524,30.8214,11.2,89.8,27.6776172,27.0417312,13,0,4.1590909090909065
192,3.5,3.833,20.7,80.5,32.9643,36.2619,10.6,89.4,32.4181386,29.470084200000002,12,0,-11.340909090909093
193,3.0,3.155,16.0,78.6,25.0119,28.4405,12.0,88.9,25.2836045,22.010472,16,0,-3.3409090909090935
194,2.833,2.521,13.4,81.2,30.0833,25.375,9.4,90.10000000000001,22.862875,27.255469800000004,8,0,0.5
195,2.896,2.792,20.0,83.9,31.8542,26.3125,9.1,89.4,23.523375,28.9554678,3,0,-2.0
196,3.125,2.75,19.6,80.8,27.375,26.8542,11.4,89.8,24.1150716,24.25425,4,1,4.5
197,3.771,3.292,19.0,79.9,29.1667,32.875,12.9,90.0,29.587500000000002,25.4041957,3,1,5.0
198,3.125,2.646,21.8,86.9,34.3958,24.3333,9.1,89.1,21.680970300000002,31.265782200000004,3,1,3.0
199,2.708,2.479,18.6,85.5,26.5833,30.375,10.2,91.8,27.88425,23.8718034,7,0,0.0
200,2.604,3.083,16.3,80.6,28.6667,31.9167,9.1,90.3,28.8207801,26.0580303,7,0,-4.0
201,2.813,3.042,17.0,84.9,31.6667,31.9167,8.9,90.5,28.8846135,28.8483637,8,0,-0.5
202,2.396,2.646,13.1,83.2,24.8125,28.4583,9.7,90.7,25.8116781,22.4056875,6,1,-2.5
203,2.833,2.5,19.9,84.5,28.875,24.8333,9.8,89.9,22.3251367,26.04525,8,1,0.5
204,3.25,2.396,24.5,84.2,30.0625,24.8958,10.8,90.4,22.505803200000003,26.81575,5,1,1.0
205,3.75,2.438,24.2,86.4,32.7292,25.125,11.5,90.3,22.687875000000002,28.965342,4,1,9.5
206,3.708,2.813,16.4,80.3,29.3958,28.25,12.6,90.0,25.425,25.6919292,5,1,5.0
207,3.396,2.813,18.5,85.1,30.2292,29.3333,11.2,90.4,26.5173032,26.8435296,7,1,2.0
208,2.833,3.813,16.2,77.7,29.7292,30.6042,9.5,87.5,26.778675,26.904926,4,0,-6.5
209,3.188,3.083,19.8,83.5,32.8958,29.6042,9.7,89.60000000000001,26.5253632,29.704907400000003,12,0,-1.5
210,2.833,2.813,15.7,84.4,31.6667,28.9167,8.9,90.3,26.1117801,28.8483637,8,0,-4.5
211,2.958,3.625,17.5,81.0,30.0625,34.75,9.8,89.60000000000001,31.136,27.116375,9,0,-5.0
212,2.688,3.354,11.8,81.2,24.0,31.6042,11.2,89.4,28.2541548,21.312,4,0,-4.5
213,2.622,2.463,14.9,84.6,32.1585,26.5,8.2,90.7,24.0355,29.521503,12,1,1.8125
214,2.793,3.841,18.8,78.3,28.1707,32.0366,9.9,88.0,28.192208,25.3818007,10,0,-14.1875
215,3.317,2.89,19.8,82.0,32.5732,30.1585,10.2,90.4,27.263284000000002,29.2507336,14,1,6.8125
216,3.439,2.537,19.7,85.8,30.8537,25.8902,11.1,90.2,23.3529604,27.4289393,13,1,10.3125
217,4.415,3.463,25.9,83.3,32.2561,34.6341,13.7,90.0,31.170689999999997,27.837014300000003,4,1,9.8125
218,3.439,3.28,18.7,80.3,34.6098,26.878,9.9,87.8,23.598884,31.1834298,11,0,4.3125
219,3.012,3.195,15.9,84.0,28.4512,35.5122,10.6,91.0,32.316102,25.4353728,7,1,-4.6875
220,3.232,3.024,19.0,82.2,28.8171,32.3902,11.2,90.7,29.377911400000002,25.5895848,10,1,3.8125
221,2.329,3.549,12.3,77.9,26.878,30.5366,8.7,88.4,26.9943544,24.539614,5,0,-20.6875
222,3.012,3.073,18.9,82.6,32.622,31.8415,9.2,90.3,28.7528745,29.620776,12,1,-1.1875
223,3.098,2.854,17.3,83.0,28.8293,27.8902,10.7,89.8,25.0453996,25.7445649,10,1,4.8125
224,2.902,3.024,20.8,84.5,31.0488,29.6341,9.3,89.8,26.611421800000002,28.1612616,12,1,2.8125
225,2.854,2.488,15.6,82.6,30.122,24.9024,9.5,90.0,22.41216,27.26041,11,1,3.3125
226,3.329,2.683,17.7,85.5,27.3171,28.4634,12.2,90.60000000000001,25.7878404,23.9844138,14,1,5.8125
227,3.963,2.207,21.3,88.3,32.2927,24.1707,12.3,90.9,21.9711663,28.320697900000003,7,1,24.3125
228,2.671,3.024,16.5,83.0,31.0732,29.8049,8.6,89.9,26.794605100000002,28.4009048,16,0,-1.1875
