gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,id,name,year_range,name_year,failed_playoff_flag
80,44,25,0,99,61.9,4.538,3.6,21.9,88,402,80.8,29.2625,29.55,0.681,0.364,0.711,0.805,0.65,0.4,0,0,0,0,15.5,0.878,22,Edmonton Oilers,19871988,Edmonton Oilers1988,0
80,25,46,0,59,36.9,3.4,4,18.6,81,435,79.5,28.7625,30.4625,0.474,0.167,0.607,0.741,0.424,0.214,0,0,0,0,11.8,0.869,23,Vancouver Canucks,19871988,Vancouver Canucks1988,1
80,30,42,0,68,42.5,3.975,4.488,21.7,103,474,77.4,30.75,32.1125,0.563,0.25,0.64,0.857,0.412,0.349,0,0,0,0,12.9,0.86,26,Los Angeles Kings,19871988,Los Angeles Kings1988,0
80,27,41,0,66,41.3,3.513,4.063,18.3,85,465,75.4,31.2,29.8875,0.457,0.176,0.48,0.708,0.318,0.353,0,0,0,0,11.3,0.864,1,New Jersey Devils,19881989,New Jersey Devils1989,1
80,28,47,0,61,38.1,3.313,4.063,22.5,85,378,73.6,30.3625,30.7875,0.406,0.313,0.458,0.621,0.293,0.361,0,0,0,0,10.9,0.868,2,New York Islanders,19881989,New York Islanders1989,1
80,37,35,0,82,51.3,3.875,3.838,18.6,85,457,77,34.0125,30.7125,0.625,0.3,0.808,0.821,0.415,0.542,0,0,0,0,11.4,0.875,3,New York Rangers,19881989,New York Rangers1989,0
80,36,36,0,80,50,3.838,3.563,26.7,98,367,81.5,29.8625,30.55,0.5,0.405,0.633,0.829,0.484,0.391,0,0,0,0,12.9,0.883,4,Philadelphia Flyers,19881989,Philadelphia Flyers1989,0
80,40,33,0,87,54.4,4.338,4.363,24.5,119,486,77,28.5125,35.7,0.618,0.413,0.71,0.912,0.625,0.472,0,0,0,0,15.2,0.878,5,Pittsburgh Penguins,19881989,Pittsburgh Penguins1989,0
80,37,29,0,88,55,3.613,3.2,19.9,85,428,82,31.375,26.75,0.592,0.258,0.743,0.967,0.545,0.28,0,0,0,0,11.5,0.88,6,Boston Bruins,19881989,Boston Bruins1989,0
80,38,35,0,83,51.9,3.638,3.738,20.5,78,381,79,27.9,29.725,0.588,0.391,0.652,0.794,0.583,0.368,0,0,0,0,13,0.874,7,Buffalo Sabres,19881989,Buffalo Sabres1989,0
80,53,18,0,115,71.9,3.938,2.725,21,80,381,82.2,30.85,26.5375,0.76,0.5,0.814,0.894,0.673,0.692,0,0,0,0,12.8,0.897,8,Montreal Canadiens,19881989,Montreal Canadiens1989,0
